File,Result
p6.2.a.txt,0
p6.2.b.txt,0
p6.2.c.txt,0
p6.2.d.txt,222
p6.2.e.txt,420
p6.2.f.txt,720
p6.2.g.txt,984
p6.2.h.txt,1284
p6.2.i.txt,1386
p6.2.j.txt,1548
p6.2.k.txt,1578
p6.2.l.txt,1704
p6.2.m.txt,2376
p6.2.n.txt,2430
p6.3.a.txt,0
p6.3.b.txt,0
p6.3.c.txt,0
p6.3.d.txt,0
p6.3.e.txt,0
p6.3.f.txt,0
p6.3.g.txt,312
p6.3.h.txt,558
p6.3.i.txt,1026
p6.3.j.txt,1032
p6.3.k.txt,1380
p6.3.l.txt,1512
p6.3.m.txt,1872
p6.3.n.txt,2046
p6.4.a.txt,0
p6.4.b.txt,0
p6.4.c.txt,0
p6.4.d.txt,0
p6.4.e.txt,0
p6.4.f.txt,0
p6.4.g.txt,0
p6.4.h.txt,0
p6.4.i.txt,0
p6.4.j.txt,402
p6.4.k.txt,648
p6.4.l.txt,786
p6.4.m.txt,1146
p6.4.n.txt,1338
p5.2.a.txt,0
p5.2.b.txt,20
p5.2.c.txt,40
p5.2.d.txt,70
p5.2.e.txt,155
p5.2.f.txt,160
p5.2.g.txt,220
p5.2.h.txt,485
p5.2.i.txt,385
p5.2.j.txt,830
p5.2.k.txt,645
p5.2.l.txt,720
p5.2.m.txt,685
p5.2.n.txt,980
p5.2.o.txt,875
p5.2.p.txt,875
p5.2.q.txt,890
p5.2.r.txt,1175
p5.2.s.txt,1255
p5.2.t.txt,1270
p5.2.u.txt,1410
p5.2.v.txt,1450
p5.2.w.txt,1275
p5.2.x.txt,1435
p5.2.y.txt,1270
p5.2.z.txt,1305
p5.3.a.txt,0
p5.3.b.txt,15
p5.3.c.txt,25
p5.3.d.txt,60
p5.3.e.txt,95
p5.3.f.txt,105
p5.3.g.txt,120
p5.3.h.txt,210
p5.3.i.txt,240
p5.3.j.txt,355
p5.3.k.txt,405
p5.3.l.txt,690
p5.3.m.txt,605
p5.3.n.txt,675
p5.3.o.txt,1045
p5.3.p.txt,820
p5.3.q.txt,900
p5.3.r.txt,940
p5.3.s.txt,970
p5.3.t.txt,1050
p5.3.u.txt,1295
p5.3.v.txt,1365
p5.3.w.txt,1210
p5.3.x.txt,1220
p5.3.y.txt,1205
p5.3.z.txt,1280
p5.4.a.txt,0
p5.4.b.txt,0
p5.4.c.txt,20
p5.4.d.txt,30
p5.4.e.txt,30
p5.4.f.txt,80
p5.4.g.txt,120
p5.4.h.txt,140
p5.4.i.txt,180
p5.4.j.txt,285
p5.4.k.txt,295
p5.4.l.txt,320
p5.4.m.txt,410
p5.4.n.txt,440
p5.4.o.txt,520
p5.4.p.txt,880
p5.4.q.txt,695
p5.4.r.txt,710
p5.4.s.txt,900
p5.4.t.txt,1255
p5.4.u.txt,1005
p5.4.v.txt,1110
p5.4.w.txt,1195
p5.4.x.txt,1155
p5.4.y.txt,1270
p5.4.z.txt,1245
p4.2.a.txt,158
p4.2.b.txt,217
p4.2.c.txt,262
p4.2.d.txt,314
p4.2.e.txt,435
p4.2.f.txt,423
p4.2.g.txt,477
p4.2.h.txt,512
p4.2.i.txt,590
p4.2.j.txt,625
p4.2.k.txt,910
p4.2.l.txt,951
p4.2.m.txt,631
p4.2.n.txt,894
p4.2.o.txt,950
p4.2.p.txt,939
p4.2.q.txt,940
p4.2.r.txt,1759
p4.2.s.txt,988
p4.2.t.txt,990
p4.3.a.txt,0
p4.3.b.txt,39
p4.3.c.txt,154
p4.3.d.txt,247
p4.3.e.txt,322
p4.3.f.txt,324
p4.3.g.txt,431
p4.3.h.txt,448
p4.3.i.txt,462
p4.3.j.txt,666
p4.3.k.txt,630
p4.3.l.txt,725
p4.3.m.txt,739
p4.3.n.txt,750
p4.3.o.txt,881
p4.3.p.txt,846
p4.3.q.txt,925
p4.3.r.txt,1262
p4.3.s.txt,1417
p4.3.t.txt,1425
p4.4.a.txt,0
p4.4.b.txt,0
p4.4.c.txt,0
p4.4.d.txt,39
p4.4.e.txt,186
p4.4.f.txt,254
p4.4.g.txt,362
p4.4.h.txt,425
p4.4.i.txt,408
p4.4.j.txt,485
p4.4.k.txt,610
p4.4.l.txt,573
p4.4.m.txt,922
p4.4.n.txt,852
p4.4.o.txt,698
